Current city,Current x,Current y,.jpg name,.jpg url,Dominant Color,Color Palette,R,G,B,HLS,H,L,S
Amsterdam,52.3727598,4.8936041,Stilleven met kool en klompen - s0137V1962 - Van Gogh Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Stilleven_met_kool_en_klompen_-_s0137V1962_-_Van_Gogh_Museum.jpg/150px-Stilleven_met_kool_en_klompen_-_s0137V1962_-_Van_Gogh_Museum.jpg,"(53, 44, 28)","[(56, 46, 29), (148, 133, 88), (110, 94, 60), (124, 116, 66), (116, 104, 84)]",53.0,44.0,28.0,"(0.10666666666666667, 40.5, -0.31645569620253167)",0.10666666666666667,40.5,-0.31645569620253167
Winona,43.9582272,-91.7807784,Beach at Scheveningen in Calm Weather - My Dream.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Beach_at_Scheveningen_in_Calm_Weather_-_My_Dream.jpg/150px-Beach_at_Scheveningen_in_Calm_Weather_-_My_Dream.jpg,"(237, 221, 203)","[(234, 217, 198), (65, 45, 32), (181, 148, 118), (125, 89, 66), (152, 117, 78)]",237.0,221.0,203.0,"(0.08823529411764706, 220.0, -0.0776255707762557)",0.08823529411764706,220.0,-0.0776255707762557
,,,Van Gogh - Landschaft mit Dünen.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Van_Gogh_-_Landschaft_mit_D%C3%BCnen.jpeg/150px-Van_Gogh_-_Landschaft_mit_D%C3%BCnen.jpeg,"(173, 142, 68)","[(177, 147, 69), (213, 200, 184), (97, 72, 42), (108, 92, 59), (231, 206, 133)]",173.0,142.0,68.0,"(0.11746031746031745, 120.5, -0.4393305439330544)",0.11746031746031745,120.5,-0.4393305439330544
,,,Van Gogh - Landschaft mit Netzflickerinnen.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Van_Gogh_-_Landschaft_mit_Netzflickerinnen.jpeg/150px-Van_Gogh_-_Landschaft_mit_Netzflickerinnen.jpeg,"(76, 68, 43)","[(76, 68, 43), (193, 179, 159), (140, 130, 110), (158, 152, 141), (158, 166, 154)]",76.0,68.0,43.0,"(0.12626262626262627, 59.5, -0.28205128205128205)",0.12626262626262627,59.5,-0.28205128205128205
Winterthur,47.4991723,8.7291498,Van Gogh - Mädchen an einer Haltestelle.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Van_Gogh_-_M%C3%A4dchen_an_einer_Haltestelle.jpeg/150px-Van_Gogh_-_M%C3%A4dchen_an_einer_Haltestelle.jpeg,"(161, 135, 85)","[(164, 138, 86), (76, 71, 54), (246, 230, 211), (221, 200, 152), (100, 76, 49)]",161.0,135.0,85.0,"(0.10964912280701755, 123.0, -0.3114754098360656)",0.10964912280701755,123.0,-0.3114754098360656
,,,Girl in the Woods - My Dream.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Girl_in_the_Woods_-_My_Dream.jpg/150px-Girl_in_the_Woods_-_My_Dream.jpg,"(70, 47, 34)","[(129, 82, 48), (38, 26, 23), (240, 208, 156), (218, 145, 78), (194, 169, 153)]",70.0,47.0,34.0,"(0.060185185185185196, 52.0, -0.35294117647058826)",0.060185185185185196,52.0,-0.35294117647058826
,,,Two women in a wood - VINCENT VAN GOGH (1853-1890) 12 1-4 x 9 7-16in. (31 x 24cm).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Two_women_in_a_wood_-_VINCENT_VAN_GOGH_%281853-1890%29_12_1-4_x_9_7-16in._%2831_x_24cm%29.jpg/150px-Two_women_in_a_wood_-_VINCENT_VAN_GOGH_%281853-1890%29_12_1-4_x_9_7-16in._%2831_x_24cm%29.jpg,"(73, 57, 36)","[(78, 60, 37), (149, 113, 57), (33, 30, 33), (132, 116, 52), (92, 92, 84)]",73.0,57.0,36.0,"(0.09459459459459459, 54.5, -0.34579439252336447)",0.09459459459459459,54.5,-0.34579439252336447
Otterlo,52.1015221,5.7720779,1882 van Gogh Girl in a Wood anagoria.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/1882_van_Gogh_Girl_in_a_Wood_anagoria.JPG/150px-1882_van_Gogh_Girl_in_a_Wood_anagoria.JPG,"(99, 86, 83)","[(98, 85, 82), (204, 180, 162), (26, 28, 47), (162, 180, 158), (146, 156, 175)]",99.0,86.0,83.0,"(0.03125, 91.0, -0.08888888888888889)",0.03125,91.0,-0.08888888888888889
Otterlo,52.1015221,5.7720779,Van Gogh - Waldrand.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Van_Gogh_-_Waldrand.jpeg/150px-Van_Gogh_-_Waldrand.jpeg,"(75, 74, 60)","[(80, 79, 64), (185, 168, 120), (137, 122, 81), (145, 142, 140), (156, 156, 132)]",75.0,74.0,60.0,"(0.15555555555555556, 67.5, -0.11278195488721804)",0.15555555555555556,67.5,-0.11278195488721804
Izumi,34.43108,135.474789,Van Gogh - Bauer beim Umgraben.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Van_Gogh_-_Bauer_beim_Umgraben.jpeg/150px-Van_Gogh_-_Bauer_beim_Umgraben.jpeg,"(156, 120, 84)","[(153, 119, 84), (61, 56, 51), (214, 159, 95), (243, 229, 221), (244, 196, 140)]",156.0,120.0,84.0,"(0.08333333333333333, 120.0, -0.3025210084033613)",0.08333333333333333,120.0,-0.3025210084033613
